Year,Month,Day,Hour,Minute,PM10
2020,1,18,6,20,19
2020,1,18,6,25,19
2020,1,18,6,30,19
2020,1,18,6,35,19
2020,1,18,6,40,19
2020,1,18,6,45,27.5
2020,1,18,6,50,29
2020,1,18,6,55,29
2020,1,18,7,0,29
2020,1,18,7,5,29
2020,1,18,7,10,29
2020,1,18,7,15,29
2020,1,18,7,20,29
2020,1,18,7,25,29
2020,1,18,7,30,29
2020,1,18,7,35,29
2020,1,18,7,40,29
2020,1,18,7,45,3.5
2020,1,18,7,50,0
2020,1,18,7,55,0
2020,1,18,8,0,0
2020,1,18,8,5,0
2020,1,18,8,10,0
2020,1,18,8,15,0
2020,1,18,8,20,0
2020,1,18,8,25,0
2020,1,18,8,30,0
2020,1,18,8,35,0
2020,1,18,8,40,0
2020,1,18,8,45,39.8
2020,1,18,8,50,47
2020,1,18,8,55,47
2020,1,18,9,0,47
2020,1,18,9,5,47
2020,1,18,9,10,47
2020,1,18,9,15,47
2020,1,18,9,20,47
2020,1,18,9,25,47
2020,1,18,9,30,47
2020,1,18,9,35,47
2020,1,18,9,40,47
2020,1,18,9,45,13
2020,1,18,9,50,7
2020,1,18,9,55,7
2020,1,18,10,0,7
2020,1,18,10,5,7
2020,1,18,10,10,7
2020,1,18,10,15,7
2020,1,18,10,20,7
2020,1,18,10,25,7
2020,1,18,10,30,7
2020,1,18,10,35,7
2020,1,18,10,40,7
2020,1,18,10,45,25.7
2020,1,18,10,50,29
2020,1,18,10,55,29
2020,1,18,11,0,29
2020,1,18,11,5,29
2020,1,18,11,10,29
2020,1,18,11,15,29
2020,1,18,11,20,29
2020,1,18,11,25,29
2020,1,18,11,30,29
2020,1,18,11,35,29
2020,1,18,11,40,29
2020,1,18,11,45,18
2020,1,18,11,50,16
2020,1,18,11,55,16
2020,1,18,12,0,16
2020,1,18,12,5,16
2020,1,18,12,10,16
2020,1,18,12,15,16
2020,1,18,12,20,16
2020,1,18,12,25,16
2020,1,18,12,30,16
2020,1,18,12,35,16
2020,1,18,12,40,16
2020,1,18,12,45,25.4
2020,1,18,12,50,27
2020,1,18,12,55,27
2020,1,18,13,0,27
2020,1,18,13,5,27
2020,1,18,13,10,27
2020,1,18,13,15,27
2020,1,18,13,20,27
2020,1,18,13,25,27
2020,1,18,13,30,27
2020,1,18,13,35,27
2020,1,18,13,40,27
2020,1,18,13,45,32.1
2020,1,18,13,50,33
2020,1,18,13,55,33
2020,1,18,14,0,33
2020,1,18,14,5,33
2020,1,18,14,10,33
2020,1,18,14,15,33
2020,1,18,14,20,33
2020,1,18,14,25,33
2020,1,18,14,30,33
2020,1,18,14,35,33
2020,1,18,14,40,33
2020,1,18,14,45,27.9
2020,1,18,14,50,27
2020,1,18,14,55,27
2020,1,18,15,0,27
2020,1,18,15,5,27
2020,1,18,15,10,27
2020,1,18,15,15,27
2020,1,18,15,20,27
2020,1,18,15,25,27
2020,1,18,15,30,27
2020,1,18,15,35,27
2020,1,18,15,40,27
2020,1,18,15,45,33.8
2020,1,18,15,50,35
2020,1,18,15,55,35
2020,1,18,16,0,35
2020,1,18,16,5,35
2020,1,18,16,10,35
2020,1,18,16,15,35
2020,1,18,16,20,35
2020,1,18,16,25,35
2020,1,18,16,30,35
2020,1,18,16,35,35
2020,1,18,16,40,35
2020,1,18,16,45,12.1
2020,1,18,16,50,8
2020,1,18,16,55,8
2020,1,18,17,0,8
2020,1,18,17,5,8
2020,1,18,17,10,8
2020,1,18,17,15,8
2020,1,18,17,20,8
2020,1,18,17,25,8
2020,1,18,17,30,8
2020,1,18,17,35,8
2020,1,18,17,40,8
2020,1,18,17,45,8
2020,1,18,17,50,8
2020,1,18,17,55,8
